Timestamp,Wind Speed (m/s)
2023-11-16 14:15:02.077320,2.8184186472248007
2023-11-16 14:15:32.089192,7.063845130657217
2023-11-16 14:16:02.124364,3.2806944579720785
2023-11-16 14:16:32.160758,5.377756379333781
2023-11-16 14:17:02.203047,9.331002441763179
2023-11-16 14:17:32.237674,6.063841576657851
2023-11-16 14:18:02.273139,0.7825825401708075
2023-11-16 14:18:32.305598,8.318196338690674
2023-11-16 14:19:02.341245,8.254764376831126
2023-11-16 14:19:32.375802,6.773299494981034
2023-11-16 14:20:02.409599,5.861709713134764
2023-11-16 14:20:32.444605,4.29457574237929
2023-11-16 14:21:02.467126,3.075834069355876
2023-11-16 14:21:32.483115,2.022142244204319
2023-11-16 14:22:02.517704,1.3914885405974864
2023-11-16 14:22:32.552677,3.424452324391206
2023-11-16 14:23:02.583117,7.423098352863379
2023-11-16 14:23:32.611145,3.2278363727402946
2023-11-16 14:24:02.643067,4.7192759036207965
2023-11-16 14:24:32.679055,1.7025172549940593
2023-11-16 14:25:02.731114,6.325306395388588
2023-11-16 14:25:32.784160,9.040597816007214
2023-11-16 14:26:02.820029,9.91974046249845
2023-11-16 14:26:32.865242,4.473595226769264
2023-11-16 14:27:02.900160,5.151043791568489
2023-11-16 14:27:32.936737,2.167076557702563
2023-11-16 14:28:02.975835,8.331005256200841
2023-11-16 14:28:33.011084,9.355168211827662
2023-11-16 14:29:03.049137,9.298042219416093
2023-11-16 14:29:33.083062,0.5527143499839038
