Timestamp,GPS Values(km/h)
2023-11-16 14:15:01.889471,Latitude:22.554763785036137 Longitude:114.17196714364665 Speed:59.879852020430924
2023-11-16 14:15:31.907100,Latitude:22.54609846665589 Longitude:114.13204569100155 Speed:45.23038781275284
2023-11-16 14:16:01.947141,Latitude:22.553470610738398 Longitude:114.16541289895152 Speed:54.98023697692113
2023-11-16 14:16:31.988116,Latitude:22.51566469769754 Longitude:114.18413094723815 Speed:41.0507900348288
2023-11-16 14:17:02.027945,Latitude:22.548229449660262 Longitude:114.18628268989566 Speed:36.817921440598646
2023-11-16 14:17:32.068815,Latitude:22.57693479926035 Longitude:114.15557016712886 Speed:54.337014502013865
2023-11-16 14:18:02.116169,Latitude:22.58969157620925 Longitude:114.13634777873052 Speed:58.66483680475755
2023-11-16 14:18:32.157863,Latitude:22.585897393170207 Longitude:114.11320480563823 Speed:21.84784943699498
2023-11-16 14:19:02.179124,Latitude:22.55233213991065 Longitude:114.12847040583304 Speed:53.80497347456792
2023-11-16 14:19:32.218667,Latitude:22.56578087081523 Longitude:114.11630295269684 Speed:21.32438796236729
2023-11-16 14:20:02.259034,Latitude:22.511436446830327 Longitude:114.15726918417926 Speed:33.32597203091936
2023-11-16 14:20:32.298858,Latitude:22.579400326796957 Longitude:114.14798624622179 Speed:39.23864640017433
2023-11-16 14:21:02.340930,Latitude:22.526369156208766 Longitude:114.15123274019612 Speed:44.68585055655281
2023-11-16 14:21:32.375780,Latitude:22.510751470132814 Longitude:114.14710459391239 Speed:38.44709597362261
2023-11-16 14:22:02.409835,Latitude:22.540823282672246 Longitude:114.11611767072387 Speed:33.53387698421689
2023-11-16 14:22:32.450602,Latitude:22.51899253247154 Longitude:114.11555625503047 Speed:33.539956484441134
2023-11-16 14:23:02.467082,Latitude:22.542387155736222 Longitude:114.1561739347379 Speed:57.81642509338862
2023-11-16 14:23:32.483117,Latitude:22.561466465822797 Longitude:114.18603267836714 Speed:22.947140492668492
2023-11-16 14:24:02.499082,Latitude:22.503799946172396 Longitude:114.10207584290453 Speed:35.383647506984346
2023-11-16 14:24:32.544482,Latitude:22.58475406609298 Longitude:114.17797439194153 Speed:49.38846463377838
2023-11-16 14:25:02.602379,Latitude:22.55864684240217 Longitude:114.13142967171417 Speed:44.61051189941959
2023-11-16 14:25:32.672478,Latitude:22.515054389721318 Longitude:114.16831308684752 Speed:33.517692068526095
2023-11-16 14:26:02.691092,Latitude:22.569992145105296 Longitude:114.10841198715595 Speed:29.694740027924638
2023-11-16 14:26:32.736900,Latitude:22.501217347917134 Longitude:114.16061584951431 Speed:49.7531908540153
2023-11-16 14:27:02.777672,Latitude:22.54424979531688 Longitude:114.11833136033468 Speed:23.57327230767971
2023-11-16 14:27:32.823435,Latitude:22.546536184632092 Longitude:114.1814900664663 Speed:32.03547267647512
2023-11-16 14:28:02.873909,Latitude:22.524884050060606 Longitude:114.19510297630922 Speed:32.77817615420815
2023-11-16 14:28:32.915080,Latitude:22.506371415511936 Longitude:114.15043925047527 Speed:29.964822866415055
2023-11-16 14:29:02.957435,Latitude:22.57073819015919 Longitude:114.19675614292713 Speed:35.109631575850074
2023-11-16 14:29:32.988772,Latitude:22.570174121778162 Longitude:114.1118843562113 Speed:22.860837356943215
