Timestamp,Oxygen Concentration(%)
2023-11-16 14:30:02.007891,19.82
2023-11-16 14:30:32.046504,18.17
2023-11-16 14:31:02.088815,18.9
2023-11-16 14:31:32.111111,20.65
2023-11-16 14:32:02.160395,19.08
2023-11-16 14:32:32.207169,18.8
2023-11-16 14:33:02.253122,20.34
2023-11-16 14:33:32.292443,18.74
2023-11-16 14:34:02.307082,20.09
2023-11-16 14:34:32.348929,18.72
2023-11-16 14:35:02.395050,19.31
2023-11-16 14:35:32.429362,18.39
2023-11-16 14:36:02.467073,20.51
2023-11-16 14:36:32.505219,20.11
2023-11-16 14:37:02.548150,18.04
2023-11-16 14:37:32.579080,18.91
2023-11-16 14:38:02.595090,20.49
2023-11-16 14:38:32.615067,19.99
2023-11-16 14:39:02.662411,19.83
2023-11-16 14:39:32.693352,20.46
2023-11-16 14:40:02.736411,19.01
2023-11-16 14:40:32.779812,20.96
2023-11-16 14:41:02.821594,19.9
2023-11-16 14:41:32.862963,18.52
2023-11-16 14:42:02.906792,19.42
2023-11-16 14:42:32.948264,20.95
2023-11-16 14:43:02.989896,18.59
2023-11-16 14:43:33.027069,20.38
2023-11-16 14:44:03.075071,20.23
2023-11-16 14:44:33.111157,20.96
