Timestamp,Temperature (°C)
2023-11-16 14:45:01.806574,-74.9770485947698
2023-11-16 14:45:31.839060,-74.6045721811319
2023-11-16 14:46:01.871046,-64.09129691470007
2023-11-16 14:46:31.907071,-65.63753923880952
2023-11-16 14:47:01.943190,-64.00469767164779
2023-11-16 14:47:31.983058,-79.46649999007225
2023-11-16 14:48:02.018197,-62.19528083215223
2023-11-16 14:48:32.035148,-64.97421506323862
2023-11-16 14:49:02.071059,-73.45076873623195
2023-11-16 14:49:32.103080,-70.45013242719345
2023-11-16 14:50:02.135074,-64.0751480018842
2023-11-16 14:50:32.167054,-66.85385879841502
2023-11-16 14:51:02.199102,-78.21286241521273
2023-11-16 14:51:32.231130,-79.32795900797363
2023-11-16 14:52:02.263024,-60.10603997468924
2023-11-16 14:52:32.281746,-64.21766856306479
2023-11-16 14:53:02.317352,-71.81349398374064
2023-11-16 14:53:32.353780,-64.41503588081781
2023-11-16 14:54:02.389487,-67.88762422672824
2023-11-16 14:54:32.425747,-71.97334671925509
2023-11-16 14:55:02.459151,-76.62939030655974
2023-11-16 14:55:32.495075,-60.3084696265084
2023-11-16 14:56:02.531086,-79.51152936420631
2023-11-16 14:56:32.563142,-60.68532692841016
2023-11-16 14:57:02.595082,-62.46766300601336
2023-11-16 14:57:32.627054,-63.33271517261022
2023-11-16 14:58:02.659049,-68.26556331795105
2023-11-16 14:58:32.692897,-75.61696196196765
2023-11-16 14:59:02.727076,-73.16051332508695
2023-11-16 14:59:32.759083,-62.09865642875287
