Timestamp,Oxygen Concentration(%)
2023-11-16 14:15:01.965264,20.8
2023-11-16 14:15:32.006620,20.88
2023-11-16 14:16:02.011084,20.24
2023-11-16 14:16:32.035140,19.39
2023-11-16 14:17:02.047066,20.99
2023-11-16 14:17:32.067245,19.11
2023-11-16 14:18:02.116160,20.14
2023-11-16 14:18:32.156069,19.36
2023-11-16 14:19:02.179176,19.12
2023-11-16 14:19:32.219088,18.9
2023-11-16 14:20:02.258128,19.71
2023-11-16 14:20:32.300574,19.7
2023-11-16 14:21:02.340919,18.7
2023-11-16 14:21:32.375412,18.16
2023-11-16 14:22:02.409838,19.82
2023-11-16 14:22:32.449712,18.64
2023-11-16 14:23:02.492556,18.41
2023-11-16 14:23:32.531862,18.2
2023-11-16 14:24:02.568365,18.06
2023-11-16 14:24:32.583127,18.91
2023-11-16 14:25:02.633781,19.29
2023-11-16 14:25:32.672470,18.87
2023-11-16 14:26:02.715061,19.76
2023-11-16 14:26:32.751042,20.21
2023-11-16 14:27:02.787062,18.33
2023-11-16 14:27:32.839515,19.83
2023-11-16 14:28:02.875102,19.02
2023-11-16 14:28:32.923093,20.35
2023-11-16 14:29:02.959056,18.6
2023-11-16 14:29:32.991064,18.98
