Timestamp,CPU Temperature(°C)
2023-11-16 14:00:02.004950,37.972
2023-11-16 14:00:32.107092,36.998
2023-11-16 14:01:02.151090,37.485
2023-11-16 14:01:32.195076,36.998
2023-11-16 14:02:02.239079,37.485
2023-11-16 14:02:32.284871,36.024
2023-11-16 14:03:02.330957,37.485
2023-11-16 14:03:32.376732,36.511
2023-11-16 14:04:02.419134,37.485
2023-11-16 14:04:32.463075,36.998
2023-11-16 14:05:02.483117,36.511
2023-11-16 14:05:32.531079,36.511
2023-11-16 14:06:02.559089,36.998
2023-11-16 14:06:32.603102,37.972
2023-11-16 14:07:02.647093,36.998
2023-11-16 14:07:32.687193,36.511
2023-11-16 14:08:02.734339,36.998
2023-11-16 14:08:32.781985,37.485
2023-11-16 14:09:02.827272,37.485
2023-11-16 14:09:32.875099,37.485
2023-11-16 14:10:02.915241,36.511
2023-11-16 14:10:32.960027,37.485
2023-11-16 14:11:03.007075,37.972
2023-11-16 14:11:33.027173,36.998
2023-11-16 14:12:03.074772,36.511
2023-11-16 14:12:33.122676,37.972
2023-11-16 14:13:03.170474,36.511
2023-11-16 14:13:33.218068,36.511
2023-11-16 14:14:03.266372,38.459
2023-11-16 14:14:33.314223,36.998
