Timestamp,Temperature (°C)
2023-11-16 14:30:02.088604,-68.20857850305565
2023-11-16 14:30:32.135083,-67.1219476090154
2023-11-16 14:31:02.169953,-60.430874080239754
2023-11-16 14:31:32.187098,-60.777415586441734
2023-11-16 14:32:02.215097,-61.03272875525609
2023-11-16 14:32:32.251092,-66.34275125635006
2023-11-16 14:33:02.289341,-68.1896891601684
2023-11-16 14:33:32.327087,-72.3857726815582
2023-11-16 14:34:02.362414,-67.85790191328502
2023-11-16 14:34:32.398215,-77.70386815107541
2023-11-16 14:35:02.436951,-71.07543901498597
2023-11-16 14:35:32.463151,-76.69731904472056
2023-11-16 14:36:02.499089,-66.91505268464427
2023-11-16 14:36:32.535060,-62.04313818288576
2023-11-16 14:37:02.571043,-75.70539964202051
2023-11-16 14:37:32.603036,-60.39753967333537
2023-11-16 14:38:02.635170,-74.31821135542333
2023-11-16 14:38:32.664712,-64.86278385385978
2023-11-16 14:39:02.703075,-60.87578544476146
2023-11-16 14:39:32.740891,-64.78300268371486
2023-11-16 14:40:02.781708,-79.83307968921903
2023-11-16 14:40:32.799091,-60.451494188674516
2023-11-16 14:41:02.821566,-78.3729646428201
2023-11-16 14:41:32.862950,-70.47746193147736
2023-11-16 14:42:02.905349,-75.77845453775396
2023-11-16 14:42:32.946815,-63.74863904039889
2023-11-16 14:43:02.991087,-69.02377060056313
2023-11-16 14:43:33.027120,-71.47220163874644
2023-11-16 14:44:03.055305,-70.9494194837331
2023-11-16 14:44:33.075067,-76.28877873442678
