Timestamp,GPS Values(km/h)
2023-11-16 14:00:02.072723,Latitude:22.592945578052408 Longitude:114.15901822858352 Speed:29.531882534698305
2023-11-16 14:00:32.115318,Latitude:22.51447732796175 Longitude:114.19152966125702 Speed:26.262320776515104
2023-11-16 14:01:02.147081,Latitude:22.546188305667606 Longitude:114.10907069524536 Speed:43.35006110832429
2023-11-16 14:01:32.181799,Latitude:22.53597867251575 Longitude:114.1531051277699 Speed:27.49329058877782
2023-11-16 14:02:02.216082,Latitude:22.57392916054503 Longitude:114.11197271704899 Speed:24.857095954408894
2023-11-16 14:02:32.250226,Latitude:22.54517364646666 Longitude:114.1998113182885 Speed:39.994275764422795
2023-11-16 14:03:02.279058,Latitude:22.570682563625024 Longitude:114.12114897084105 Speed:53.47633474485755
2023-11-16 14:03:32.311120,Latitude:22.5017362480196 Longitude:114.18145141394349 Speed:34.151729433072184
2023-11-16 14:04:02.319073,Latitude:22.532449007216616 Longitude:114.10213342866878 Speed:45.83576570488282
2023-11-16 14:04:32.360277,Latitude:22.588296571960836 Longitude:114.18874108529666 Speed:29.99087601401946
2023-11-16 14:05:02.378082,Latitude:22.521467033739242 Longitude:114.15980633258118 Speed:47.90785283285118
2023-11-16 14:05:32.399070,Latitude:22.585980689185135 Longitude:114.12607130333573 Speed:40.956066817732264
2023-11-16 14:06:02.439554,Latitude:22.5142546964209 Longitude:114.19482930214588 Speed:52.38026218652244
2023-11-16 14:06:32.488442,Latitude:22.53878209249816 Longitude:114.11040118029993 Speed:48.26553329191318
2023-11-16 14:07:02.527070,Latitude:22.520708676764386 Longitude:114.19912678006422 Speed:44.537295263667865
2023-11-16 14:07:32.562507,Latitude:22.587771868030533 Longitude:114.15214608078529 Speed:43.78823608999952
2023-11-16 14:08:02.579072,Latitude:22.574693324025745 Longitude:114.16261442513441 Speed:38.51674791690192
2023-11-16 14:08:32.607144,Latitude:22.562465325279454 Longitude:114.13703533892887 Speed:30.402574289120924
2023-11-16 14:09:02.647721,Latitude:22.572690131087203 Longitude:114.14501633478588 Speed:43.39054035341635
2023-11-16 14:09:32.689193,Latitude:22.55887185987395 Longitude:114.17296587367346 Speed:39.171615875495036
2023-11-16 14:10:02.733312,Latitude:22.595093087120766 Longitude:114.12642545465859 Speed:53.84820601169323
2023-11-16 14:10:32.777979,Latitude:22.508726394012697 Longitude:114.14566766384499 Speed:44.73130289866124
2023-11-16 14:11:02.820953,Latitude:22.59875718400461 Longitude:114.15052632711146 Speed:57.45891940864215
2023-11-16 14:11:32.864808,Latitude:22.585826898492044 Longitude:114.10280566387279 Speed:55.25932265119367
2023-11-16 14:12:02.907055,Latitude:22.523313928767692 Longitude:114.18854620582117 Speed:41.74090401957752
2023-11-16 14:12:32.949624,Latitude:22.508401225596366 Longitude:114.18483116962464 Speed:57.57552237915386
2023-11-16 14:13:02.974553,Latitude:22.529707949776956 Longitude:114.19654578004678 Speed:41.400082000859
2023-11-16 14:13:33.016418,Latitude:22.59483292837105 Longitude:114.19361728687032 Speed:34.364245241559885
2023-11-16 14:14:03.059078,Latitude:22.58252962420438 Longitude:114.13578237592735 Speed:55.44411228071767
2023-11-16 14:14:33.091082,Latitude:22.56657674777586 Longitude:114.18295150907404 Speed:27.54867966295592
