Timestamp,Colour
2023-11-16 14:45:01.599742,R:231 G:219 B:40
2023-11-16 14:45:31.637000,R:28 G:197 B:145
2023-11-16 14:46:01.678072,R:249 G:242 B:29
2023-11-16 14:46:31.720934,R:221 G:89 B:107
2023-11-16 14:47:01.763246,R:61 G:242 B:17
2023-11-16 14:47:31.804987,R:224 G:206 B:40
2023-11-16 14:48:01.827226,R:238 G:52 B:29
2023-11-16 14:48:31.868299,R:157 G:103 B:130
2023-11-16 14:49:01.909421,R:124 G:193 B:39
2023-11-16 14:49:31.939114,R:49 G:230 B:33
2023-11-16 14:50:01.983288,R:71 G:71 B:78
2023-11-16 14:50:32.024299,R:30 G:246 B:250
2023-11-16 14:51:02.065070,R:40 G:203 B:164
2023-11-16 14:51:32.108107,R:172 G:129 B:163
2023-11-16 14:52:02.149677,R:119 G:180 B:204
2023-11-16 14:52:32.163085,R:215 G:198 B:207
2023-11-16 14:53:02.202707,R:214 G:23 B:60
2023-11-16 14:53:32.243329,R:37 G:30 B:97
2023-11-16 14:54:02.285308,R:124 G:90 B:146
2023-11-16 14:54:32.326219,R:225 G:9 B:178
2023-11-16 14:55:02.366135,R:105 G:239 B:101
2023-11-16 14:55:32.406585,R:76 G:143 B:134
2023-11-16 14:56:02.446674,R:167 G:153 B:26
2023-11-16 14:56:32.491065,R:94 G:242 B:251
2023-11-16 14:57:02.531975,R:83 G:160 B:250
2023-11-16 14:57:32.571560,R:158 G:224 B:7
2023-11-16 14:58:02.611128,R:13 G:246 B:24
2023-11-16 14:58:32.644990,R:47 G:1 B:83
2023-11-16 14:59:02.686027,R:106 G:247 B:229
2023-11-16 14:59:32.729249,R:232 G:69 B:211
