Timestamp,Sound(dB)
2023-11-16 14:45:01.825309,49
2023-11-16 14:45:31.859064,80
2023-11-16 14:46:01.891185,89
2023-11-16 14:46:31.927026,69
2023-11-16 14:47:01.959074,78
2023-11-16 14:47:31.991056,45
2023-11-16 14:48:02.023111,43
2023-11-16 14:48:32.035078,34
2023-11-16 14:49:02.067200,42
2023-11-16 14:49:32.099050,42
2023-11-16 14:50:02.131070,48
2023-11-16 14:50:32.167140,81
2023-11-16 14:51:02.199057,87
2023-11-16 14:51:32.231047,37
2023-11-16 14:52:02.263022,53
2023-11-16 14:52:32.295038,97
2023-11-16 14:53:02.327069,92
2023-11-16 14:53:32.355257,87
2023-11-16 14:54:02.390448,49
2023-11-16 14:54:32.425756,51
2023-11-16 14:55:02.459058,80
2023-11-16 14:55:32.491057,31
2023-11-16 14:56:02.523032,53
2023-11-16 14:56:32.555048,83
2023-11-16 14:57:02.587034,68
2023-11-16 14:57:32.605125,77
2023-11-16 14:58:02.640534,88
2023-11-16 14:58:32.671060,30
2023-11-16 14:59:02.686095,50
2023-11-16 14:59:32.729257,32
