Timestamp,Pressure
2023-11-16 14:00:02.158735,106215.75305309045
2023-11-16 14:00:32.191113,79145.54089430766
2023-11-16 14:01:02.226458,79433.61085160016
2023-11-16 14:01:32.259069,88537.11413740064
2023-11-16 14:02:02.294240,68380.81001121679
2023-11-16 14:02:32.327180,70065.65873323356
2023-11-16 14:03:02.359062,111119.49487963843
2023-11-16 14:03:32.391076,109431.87061717155
2023-11-16 14:04:02.423094,69502.66395427889
2023-11-16 14:04:32.455064,84610.67068974099
2023-11-16 14:05:02.483071,90378.17691529758
2023-11-16 14:05:32.515082,65070.80186608154
2023-11-16 14:06:02.543158,86716.14236378742
2023-11-16 14:06:32.575189,86977.71170642698
2023-11-16 14:07:02.610075,76371.4712729582
2023-11-16 14:07:32.640819,75048.44167963456
2023-11-16 14:08:02.675428,75008.1103377155
2023-11-16 14:08:32.703133,66299.21905465671
2023-11-16 14:09:02.737569,105570.71046125935
2023-11-16 14:09:32.772563,81915.15726671054
2023-11-16 14:10:02.807252,107886.95950785547
2023-11-16 14:10:32.819088,67992.65342445881
2023-11-16 14:11:02.851105,105705.99991717326
2023-11-16 14:11:32.865332,80963.03768854747
2023-11-16 14:12:02.905879,97831.67986525438
2023-11-16 14:12:32.949625,105615.72264751373
2023-11-16 14:13:02.974542,81210.69483348176
2023-11-16 14:13:33.015103,89442.18944583094
2023-11-16 14:14:03.028565,90445.5241387496
2023-11-16 14:14:33.063075,83987.70322816583
