Timestamp,Temperature (°C)
2023-11-16 14:15:01.981603,-75.93792667801057
2023-11-16 14:15:32.021778,-67.12216084263355
2023-11-16 14:16:02.055065,-78.11866176865412
2023-11-16 14:16:32.090529,-62.44687105297761
2023-11-16 14:17:02.114332,-72.07126188258593
2023-11-16 14:17:32.150579,-69.76166242506449
2023-11-16 14:18:02.185226,-79.70977672567295
2023-11-16 14:18:32.216661,-62.17610322117696
2023-11-16 14:19:02.252206,-75.07712247715298
2023-11-16 14:19:32.266372,-77.90862878868225
2023-11-16 14:20:02.300873,-76.17171116679368
2023-11-16 14:20:32.336847,-79.90545851080873
2023-11-16 14:21:02.372600,-79.9979040956753
2023-11-16 14:21:32.407064,-62.84392314807204
2023-11-16 14:22:02.439050,-76.36367284899946
2023-11-16 14:22:32.450603,-75.7910632721065
2023-11-16 14:23:02.492576,-63.166113838190185
2023-11-16 14:23:32.527959,-68.49901375790003
2023-11-16 14:24:02.568393,-71.07878690763583
2023-11-16 14:24:32.603052,-72.30955185039403
2023-11-16 14:25:02.661529,-67.4138239141966
2023-11-16 14:25:32.707069,-60.77449709517593
2023-11-16 14:26:02.739060,-70.99280809163764
2023-11-16 14:26:32.775056,-71.63059915030146
2023-11-16 14:27:02.807068,-78.16586817100513
2023-11-16 14:27:32.823426,-64.771931198858
2023-11-16 14:28:02.873011,-67.4126835819898
2023-11-16 14:28:32.923093,-65.13011305704381
2023-11-16 14:29:02.959405,-62.927817465053636
2023-11-16 14:29:32.988788,-70.52829684903796
