Timestamp,CPU Temperature(°C)
2023-11-16 14:30:02.185633,38.946
2023-11-16 14:30:32.219113,37.972
2023-11-16 14:31:02.267943,37.972
2023-11-16 14:31:32.316493,36.998
2023-11-16 14:32:02.343118,36.998
2023-11-16 14:32:32.379771,38.946
2023-11-16 14:33:02.432358,37.485
2023-11-16 14:33:32.459103,36.998
2023-11-16 14:34:02.495066,37.485
2023-11-16 14:34:32.531125,36.998
2023-11-16 14:35:02.571091,36.511
2023-11-16 14:35:32.615078,37.485
2023-11-16 14:36:02.659071,37.972
2023-11-16 14:36:32.676803,37.972
2023-11-16 14:37:02.703072,38.459
2023-11-16 14:37:32.742111,39.433
2023-11-16 14:38:02.787069,38.459
2023-11-16 14:38:32.811036,38.459
2023-11-16 14:39:02.863057,37.972
2023-11-16 14:39:32.908791,37.972
2023-11-16 14:40:02.955080,38.459
2023-11-16 14:40:32.979103,37.972
2023-11-16 14:41:03.001240,37.972
2023-11-16 14:41:33.033961,37.972
2023-11-16 14:42:03.082644,37.972
2023-11-16 14:42:33.131069,36.998
2023-11-16 14:43:03.175079,37.972
2023-11-16 14:43:33.219092,38.459
2023-11-16 14:44:03.266187,37.972
2023-11-16 14:44:33.312914,38.459
