Timestamp,Sound(dB)
2023-11-16 14:15:02.059400,88
2023-11-16 14:15:32.091084,39
2023-11-16 14:16:02.124351,65
2023-11-16 14:16:32.167210,48
2023-11-16 14:17:02.187130,87
2023-11-16 14:17:32.219130,55
2023-11-16 14:18:02.251045,89
2023-11-16 14:18:32.259073,73
2023-11-16 14:19:02.294659,67
2023-11-16 14:19:32.327078,57
2023-11-16 14:20:02.359132,87
2023-11-16 14:20:32.395059,42
2023-11-16 14:21:02.405396,73
2023-11-16 14:21:32.440458,68
2023-11-16 14:22:02.475153,87
2023-11-16 14:22:32.507098,91
2023-11-16 14:23:02.535984,71
2023-11-16 14:23:32.572143,42
2023-11-16 14:24:02.610587,99
2023-11-16 14:24:32.645691,56
2023-11-16 14:25:02.687087,99
2023-11-16 14:25:32.727043,60
2023-11-16 14:26:02.763118,100
2023-11-16 14:26:32.799079,75
2023-11-16 14:27:02.835089,45
2023-11-16 14:27:32.867065,41
2023-11-16 14:28:02.903031,75
2023-11-16 14:28:32.943049,90
2023-11-16 14:29:02.983048,80
2023-11-16 14:29:33.015046,40
