Timestamp,Oxygen Concentration(%)
2023-11-16 14:45:01.610149,20.65
2023-11-16 14:45:31.637000,19.23
2023-11-16 14:46:01.678064,20.15
2023-11-16 14:46:31.723086,18.25
2023-11-16 14:47:01.763590,20.65
2023-11-16 14:47:31.806756,18.6
2023-11-16 14:48:01.847032,19.06
2023-11-16 14:48:31.879091,20.08
2023-11-16 14:49:01.909397,18.62
2023-11-16 14:49:31.939073,20.2
2023-11-16 14:50:01.981883,19.74
2023-11-16 14:50:32.024311,20.6
2023-11-16 14:51:02.065490,20.03
2023-11-16 14:51:32.108588,19.1
2023-11-16 14:52:02.143098,18.83
2023-11-16 14:52:32.183039,20.93
2023-11-16 14:53:02.216873,20.33
2023-11-16 14:53:32.243306,19.23
2023-11-16 14:54:02.284474,18.43
2023-11-16 14:54:32.326245,18.28
2023-11-16 14:55:02.366107,19.36
2023-11-16 14:55:32.406590,19.81
2023-11-16 14:56:02.447022,18.51
2023-11-16 14:56:32.491048,19.76
2023-11-16 14:57:02.531975,19.92
2023-11-16 14:57:32.571399,20.77
2023-11-16 14:58:02.601272,18.5
2023-11-16 14:58:32.642048,19.04
2023-11-16 14:59:02.685713,20.98
2023-11-16 14:59:32.729963,18.11
