Timestamp,CPU Temperature(°C)
2023-11-16 14:15:02.069500,38.459
2023-11-16 14:15:32.123372,36.511
2023-11-16 14:16:02.170112,36.998
2023-11-16 14:16:32.215079,36.998
2023-11-16 14:17:02.261801,37.485
2023-11-16 14:17:32.309946,36.998
2023-11-16 14:18:02.358548,36.998
2023-11-16 14:18:32.406206,36.511
2023-11-16 14:19:02.454470,37.485
2023-11-16 14:19:32.502387,36.998
2023-11-16 14:20:02.549750,36.998
2023-11-16 14:20:32.599789,37.485
2023-11-16 14:21:02.648418,36.998
2023-11-16 14:21:32.695824,37.485
2023-11-16 14:22:02.743313,37.972
2023-11-16 14:22:32.790870,37.485
2023-11-16 14:23:02.847323,36.998
2023-11-16 14:23:32.896037,36.511
2023-11-16 14:24:02.915152,36.998
2023-11-16 14:24:32.966338,37.972
2023-11-16 14:25:03.020413,36.998
2023-11-16 14:25:33.071091,37.485
2023-11-16 14:26:03.120172,37.972
2023-11-16 14:26:33.170367,36.998
2023-11-16 14:27:03.216021,36.998
2023-11-16 14:27:33.251137,37.485
2023-11-16 14:28:03.300214,37.485
2023-11-16 14:28:33.355057,37.485
2023-11-16 14:29:03.405660,38.459
2023-11-16 14:29:33.454015,36.511
