Timestamp,Colour
2023-11-16 14:15:01.928945,R:218 G:143 B:182
2023-11-16 14:15:31.975942,R:78 G:242 B:106
2023-11-16 14:16:02.011090,R:246 G:40 B:154
2023-11-16 14:16:32.035079,R:28 G:141 B:248
2023-11-16 14:17:02.067052,R:102 G:117 B:75
2023-11-16 14:17:32.101289,R:144 G:255 B:96
2023-11-16 14:18:02.135038,R:137 G:109 B:71
2023-11-16 14:18:32.167087,R:66 G:105 B:76
2023-11-16 14:19:02.179079,R:73 G:102 B:94
2023-11-16 14:19:32.218641,R:48 G:29 B:47
2023-11-16 14:20:02.258158,R:86 G:62 B:105
2023-11-16 14:20:32.298851,R:238 G:144 B:62
2023-11-16 14:21:02.327105,R:215 G:118 B:28
2023-11-16 14:21:32.367083,R:103 G:80 B:251
2023-11-16 14:22:02.408440,R:147 G:25 B:121
2023-11-16 14:22:32.449760,R:212 G:255 B:158
2023-11-16 14:23:02.491135,R:138 G:139 B:114
2023-11-16 14:23:32.527960,R:91 G:159 B:28
2023-11-16 14:24:02.569748,R:155 G:248 B:164
2023-11-16 14:24:32.583076,R:5 G:161 B:100
2023-11-16 14:25:02.639124,R:134 G:162 B:57
2023-11-16 14:25:32.683112,R:78 G:213 B:80
2023-11-16 14:26:02.723812,R:39 G:45 B:214
2023-11-16 14:26:32.761063,R:140 G:227 B:108
2023-11-16 14:27:02.799086,R:226 G:254 B:156
2023-11-16 14:27:32.823411,R:192 G:12 B:252
2023-11-16 14:28:02.872985,R:193 G:130 B:205
2023-11-16 14:28:32.920631,R:213 G:140 B:182
2023-11-16 14:29:02.959410,R:142 G:246 B:23
2023-11-16 14:29:32.995082,R:106 G:37 B:240
