Timestamp,GPS Values(km/h)
2023-11-16 14:30:02.030127,Latitude:22.57699420485321 Longitude:114.10947889524078 Speed:44.65343877962471
2023-11-16 14:30:32.077958,Latitude:22.53873393962794 Longitude:114.16490739346524 Speed:27.74922491363808
2023-11-16 14:31:02.099094,Latitude:22.568498156069985 Longitude:114.14217142982469 Speed:27.5984505154847
2023-11-16 14:31:32.111075,Latitude:22.58015388538391 Longitude:114.1099371477563 Speed:27.367202534040494
2023-11-16 14:32:02.160782,Latitude:22.53153577136224 Longitude:114.11218814472096 Speed:30.704269513494985
2023-11-16 14:32:32.210723,Latitude:22.59355633924701 Longitude:114.12666228106809 Speed:48.773092285456016
2023-11-16 14:33:02.243144,Latitude:22.581484614204847 Longitude:114.1658758989734 Speed:42.4510273623406
2023-11-16 14:33:32.289156,Latitude:22.549467096198246 Longitude:114.19788813525902 Speed:48.808359691047905
2023-11-16 14:34:02.327039,Latitude:22.594351576310267 Longitude:114.12469220168428 Speed:30.54382983627474
2023-11-16 14:34:32.363223,Latitude:22.519418600368365 Longitude:114.17961336871902 Speed:22.1820872442386
2023-11-16 14:35:02.375095,Latitude:22.51334071822709 Longitude:114.12831071770643 Speed:33.451018456202206
2023-11-16 14:35:32.417928,Latitude:22.55878530762264 Longitude:114.1348623813063 Speed:49.05199494379048
2023-11-16 14:36:02.460013,Latitude:22.570914772428683 Longitude:114.1999028796 Speed:35.657086515294154
2023-11-16 14:36:32.505220,Latitude:22.580467631297104 Longitude:114.1829456650417 Speed:49.48563937513515
2023-11-16 14:37:02.543042,Latitude:22.523135075035352 Longitude:114.13345053008466 Speed:53.45048581074255
2023-11-16 14:37:32.579264,Latitude:22.5770660006009 Longitude:114.15642830189239 Speed:26.612529734944104
2023-11-16 14:38:02.623064,Latitude:22.576328988961546 Longitude:114.19425627784072 Speed:58.544786730597735
2023-11-16 14:38:32.665374,Latitude:22.56238839254358 Longitude:114.15355374174679 Speed:28.159357635260807
2023-11-16 14:39:02.703083,Latitude:22.502769405218334 Longitude:114.13355739932712 Speed:35.88899034141727
2023-11-16 14:39:32.745274,Latitude:22.51881849660607 Longitude:114.13087883633149 Speed:58.920306297458666
2023-11-16 14:40:02.783095,Latitude:22.567070343512913 Longitude:114.16777817015642 Speed:27.049771414446973
2023-11-16 14:40:32.799059,Latitude:22.509378816607786 Longitude:114.13749811023165 Speed:30.445545973480662
2023-11-16 14:41:02.835041,Latitude:22.548894957011036 Longitude:114.17282044365943 Speed:46.352089852806394
2023-11-16 14:41:32.867108,Latitude:22.583576759733386 Longitude:114.15642657264381 Speed:22.08924267733146
2023-11-16 14:42:02.905952,Latitude:22.55036285221186 Longitude:114.11792743988698 Speed:58.59724269267667
2023-11-16 14:42:32.948253,Latitude:22.568888764250016 Longitude:114.13187774198578 Speed:29.505632359357314
2023-11-16 14:43:02.984634,Latitude:22.545538329212597 Longitude:114.19594242857315 Speed:45.14606074920718
2023-11-16 14:43:33.027099,Latitude:22.566498875409547 Longitude:114.16667509136869 Speed:31.750658944087228
2023-11-16 14:44:03.075051,Latitude:22.51373028782242 Longitude:114.17303652704216 Speed:47.397000387040876
2023-11-16 14:44:33.099075,Latitude:22.51696049185184 Longitude:114.13581446077717 Speed:55.89345616932836
